TABLE_NAME,COLUMN_NAME,DATA_TYPE,COLUMN_TYPE,IS_NULLABLE,COLUMN_KEY,COLUMN_DEFAULT,EXTRA
"account_transactions","transaction_id","bigint","bigint(20) unsigned","NO","PRI","","auto_increment"
"account_transactions","source_account_number","varchar","varchar(34)","NO","MUL","",""
"account_transactions","target_account_number","varchar","varchar(34)","NO","MUL","",""
"account_transactions","transaction_amount","decimal","decimal(28,8)","NO","","",""
"account_transactions","ts","timestamp","timestamp(6)","NO","MUL","CURRENT_TIMESTAMP(6)",""
"bank_accounts","account_number","varchar","varchar(34)","NO","PRI","",""
"bank_accounts","bank_name","varchar","varchar(100)","NO","","",""
"bank_accounts","user_id","bigint","bigint(20) unsigned","NO","","",""
"bank_accounts","account_balance","decimal","decimal(28,8)","NO","","0",""
"bank_accounts","created_at","timestamp","timestamp(6)","NO","","CURRENT_TIMESTAMP(6)",""
"bank_accounts","updated_at","timestamp","timestamp(6)","NO","","CURRENT_TIMESTAMP(6)","DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)"
"crypto_transfers","crypto_transfer_id","bigint","bigint(20) unsigned","NO","PRI","","auto_increment"
"crypto_transfers","source_wallet_id","bigint","bigint(20) unsigned","NO","MUL","",""
"crypto_transfers","target_wallet_id","bigint","bigint(20) unsigned","NO","MUL","",""
"crypto_transfers","symbol","varchar","varchar(32)","NO","","",""
"crypto_transfers","unit_numbers","decimal","decimal(28,8)","NO","","",""
"crypto_transfers","ts","timestamp","timestamp(6)","NO","","CURRENT_TIMESTAMP(6)",""
"future_orders","future_order_id","bigint","bigint(20) unsigned","NO","PRI","","auto_increment"
"future_orders","wallet_id","bigint","bigint(20) unsigned","NO","MUL","",""
"future_orders","symbol","varchar","varchar(32)","NO","MUL","",""
"future_orders","side","enum","enum('long','short')","NO","","long",""
"future_orders","leverage","int","int(10) unsigned","NO","","",""
"future_orders","open_ts","timestamp","timestamp(6)","NO","","CURRENT_TIMESTAMP(6)",""
"future_orders","close_ts","timestamp","timestamp(6)","YES","","",""
"future_orders","profit","decimal","decimal(28,8)","YES","","",""
"future_orders","entry_price","double","double","YES","","",""
"future_orders","margin","double","double","YES","","",""
"internal_transfers","internal_transfer_id","bigint","bigint(20) unsigned","NO","PRI","","auto_increment"
"internal_transfers","source_wallet_id","bigint","bigint(20) unsigned","NO","MUL","",""
"internal_transfers","target_wallet_id","bigint","bigint(20) unsigned","NO","MUL","",""
"internal_transfers","transfer_amount","decimal","decimal(28,8)","NO","","",""
"internal_transfers","ts","timestamp","timestamp(6)","NO","","CURRENT_TIMESTAMP(6)",""
"migrations","id","int","int(11)","NO","PRI","","auto_increment"
"migrations","filename","varchar","varchar(255)","NO","","",""
"migrations","applied_at","timestamp","timestamp","YES","","CURRENT_TIMESTAMP",""
"p2p_orders","order_id","bigint","bigint(20) unsigned","NO","PRI","","auto_increment"
"p2p_orders","user_id","bigint","bigint(20) unsigned","NO","MUL","",""
"p2p_orders","merchant_id","bigint","bigint(20) unsigned","YES","","",""
"p2p_orders","type","enum","enum('buy','sell')","NO","","",""
"p2p_orders","unit_numbers","decimal","decimal(28,8)","NO","","",""
"p2p_orders","state","enum","enum('open','matched','filled','cancelled')","NO","MUL","open",""
